date,week,sunrise_hour,sunrise_min,sunrise_sec,sunset_hour,sunset_min,sunset_sec,season,is_holiday,is_weekend,snow,snowdepth,temp,precip,precipprob,preciptype,windgust,winddir,solarradiation,moonphase,conditions,Offense Count
2010-01-08,Friday,7,18,0,17,38,41,Winter,0,0,0.0,0.0,28.2,0.0,0,none,30.0,338.9,124.0,0.77,clear,362
2022-04-01,Friday,7,10,46,19,40,15,Spring,0,0,0.0,0.0,66.2,0.0,0,none,28.2,109.2,224.5,0.0,cloudy,925
2022-05-23,Monday,6,24,22,20,12,30,Spring,0,0,0.0,0.0,74.5,0.0,0,none,19.7,61.4,478.1,0.76,cloudy,778
2013-12-21,Saturday,7,12,53,17,26,42,Winter,0,1,0.0,0.0,67.8,0.377,100,rain,31.0,172.1,55.8,0.64,rain,371
2020-10-03,Saturday,7,16,12,19,3,58,Autumn,0,1,0.0,0.0,71.6,0.0,0,none,19.7,112.9,118.8,0.56,clear,704
2014-12-20,Saturday,7,12,15,17,26,5,Winter,0,1,0.0,0.0,51.8,0.0,0,none,18.3,352.0,,0.96,cloudy,361
2012-02-13,Monday,7,3,9,18,8,38,Winter,0,0,0.0,0.0,54.8,1.114,100,rain,21.9,109.3,80.5,0.71,rain,308
2012-10-08,Monday,7,19,5,18,58,8,Autumn,1,0,0.0,0.0,61.9,0.0,0,none,30.0,31.1,243.4,0.75,cloudy,296
2023-02-14,Tuesday,7,2,3,18,9,42,Winter,0,0,0.0,0.0,69.7,0.047,100,rain,38.0,188.3,113.6,0.81,rain,658
2022-02-28,Monday,6,48,11,18,20,11,Winter,0,0,0.0,0.0,52.9,0.0,0,none,16.6,8.5,176.2,0.93,cloudy,644
2015-06-15,Monday,6,20,37,20,23,23,Summer,0,0,0.0,0.0,79.9,0.219,100,rain,24.8,62.0,211.8,0.97,rain,370
2013-07-01,Monday,6,24,43,20,26,0,Summer,0,0,0.0,0.0,83.9,0.0,0,none,19.6,31.5,333.2,0.78,clear,433
2014-11-19,Wednesday,6,49,30,17,24,2,Autumn,0,0,0.0,0.0,56.3,0.0,0,none,20.9,142.9,,0.91,cloudy,358
2018-05-21,Monday,6,25,15,20,11,14,Spring,0,0,0.0,0.0,75.5,1.432,100,rain,0.0,66.6,41.3,0.25,rain,350
